Decode1,Pal,
-4.583us,7FFE,,
-4.166us,7FFE,,
-3.749us,7FFE,,
-3.334us,7FFF,,
-2.915us,7FFF,,
-2.5us,7FFF,,
-2.084us,7FFF,,
-1.666us,7FFF,,
-1.25us,7FFF,,
-833.9ns,7FFF,,
-416ns,7FFF,,
0s,0000,,
416ns,0000,,
833.9ns,0000,,
1.25us,0000,,
1.665us,0000,,
2.084us,0000,,
2.499us,0000,,
2.915us,0000,,
3.334us,0001,,
3.749us,0031,,
4.166us,0031,,
4.583us,0032,,
5us,0032,,
5.416us,0032,,
5.834us,0032,,
6.25us,0032,,
6.665us,0001,,
7.084us,0001,,
7.5us,0002,,
7.915us,0002,,
8.334us,0002,,
8.749us,0003,,
9.166us,0003,,
9.583us,0003,,
10us,0003,,
10.41us,0003,,
10.83us,0004,,
11.25us,0004,,
11.66us,0004,,
12.08us,0005,,
12.5us,0005,,
12.91us,0005,,
13.33us,0005,,
13.75us,0005,,
14.16us,0006,,
14.58us,0006,,
15us,0006,,
15.41us,0007,,
15.83us,0007,,
16.25us,0007,,
16.66us,0007,,
17.08us,0007,,
17.5us,0008,,
17.91us,0008,,
18.33us,0008,,
18.75us,0009,,
19.16us,0009,,
19.58us,0009,,
20us,0009,,
20.41us,0009,,
20.83us,000A,,
21.25us,000A,,
21.66us,000A,,
22.08us,000B,,
22.5us,000B,,
22.91us,000B,,
23.33us,000B,,
23.75us,000B,,
24.16us,000C,,
24.58us,000C,,
25us,000C,,
25.41us,000D,,
25.83us,000D,,
26.25us,000D,,
26.66us,000D,,
27.08us,000D,,
27.5us,000E,,
27.91us,000E,,
28.33us,000E,,
28.75us,000F,,
29.16us,000F,,
29.58us,000F,,
30us,000F,,
30.41us,000F,,
30.83us,0010,,
31.25us,0010,,
31.66us,0010,,
32.08us,0032,,
32.5us,0032,,
32.91us,0032,,
33.33us,0033,,
33.75us,0033,,
34.16us,0033,,
34.58us,0033,,
35us,0033,,
35.41us,0023,,
35.83us,0023,,
36.25us,0024,,
36.66us,0024,,
37.08us,0024,,
37.5us,0024,,
37.91us,0025,,
38.33us,0025,,
38.75us,0025,,
39.16us,0025,,
39.58us,0026,,
40us,0028,,
40.41us,0028,,
40.83us,0029,,
41.25us,0029,,
41.66us,0029,,
42.08us,002A,,
42.5us,002A,,
42.91us,002A,,
43.33us,0033,,
43.75us,0033,,
44.16us,0033,,
44.58us,0034,,
45us,0034,,
45.41us,0034,,
45.83us,0034,,
46.25us,0034,,
46.66us,0035,,
47.08us,0035,,
47.5us,0035,,
47.91us,0036,,
48.33us,0032,,
48.75us,0032,,
49.16us,0033,,
49.58us,0033,,
50us,0033,,
50.41us,0033,,
50.83us,0033,,
51.25us,0023,,
51.66us,0023,,
52.08us,0024,,
52.5us,0024,,
52.91us,0024,,
53.33us,0024,,
53.75us,0025,,
54.16us,0025,,
54.58us,0025,,
55us,0025,,
55.41us,0026,,
55.83us,0028,,
56.25us,0028,,
56.66us,0029,,
57.08us,0029,,
57.5us,0029,,
57.91us,002A,,
58.33us,002A,,
58.75us,002A,,
59.16us,0033,,
59.58us,0033,,
60us,0033,,
60.41us,0034,,
60.83us,0034,,
61.25us,0034,,
61.66us,0034,,
62.08us,0034,,
62.5us,0035,,
62.91us,0035,,
63.33us,0035,,
63.75us,0036,,
64.16us,0032,,
64.58us,0032,,
64.99us,0033,,
65.41us,0033,,
65.83us,0033,,
66.25us,0033,,
66.66us,0033,,
67.08us,0023,,
67.5us,0023,,
67.91us,0024,,
68.33us,0024,,
68.75us,0024,,
69.16us,0024,,
69.58us,0025,,
70us,0025,,
70.41us,0025,,
70.83us,0025,,
71.25us,0026,,
71.66us,0028,,
72.08us,0028,,
72.5us,0029,,
72.91us,0029,,
73.33us,0029,,
73.75us,002A,,
74.16us,002A,,
74.58us,002A,,
74.99us,0033,,
75.41us,0033,,
75.83us,0033,,
76.25us,0034,,
76.66us,0034,,
77.08us,0034,,
77.5us,0034,,
77.91us,0034,,
78.33us,0035,,
78.75us,0035,,
79.16us,0035,,
79.58us,0036,,
80us,0032,,
80.41us,0032,,
80.83us,0033,,
81.25us,0033,,
81.66us,0033,,
82.08us,0033,,
82.5us,0033,,
82.91us,0023,,
83.33us,0023,,
83.75us,0024,,
84.16us,0024,,
84.58us,0024,,
84.99us,0024,,
85.41us,0025,,
85.83us,0025,,
86.25us,0025,,
86.66us,0025,,
87.08us,0026,,
87.5us,0028,,
87.91us,0028,,
88.33us,0029,,
88.75us,0029,,
89.16us,0029,,
89.58us,002A,,
90us,002A,,
90.41us,002A,,
90.83us,0033,,
91.25us,0033,,
91.66us,0033,,
92.08us,0034,,
92.5us,0034,,
92.91us,0034,,
93.33us,0034,,
93.75us,0034,,
94.16us,0035,,
94.58us,0035,,
94.99us,0035,,
95.41us,0036,,
95.83us,0032,,
96.24us,0032,,
96.66us,0033,,
97.08us,0033,,
97.5us,0033,,
97.91us,0033,,
98.33us,0033,,
98.75us,0023,,
99.16us,0023,,
99.58us,0024,,
100us,0024,,
100.4us,0024,,
100.8us,0024,,
101.2us,0025,,
101.6us,0025,,
102us,0025,,
102.5us,0025,,
102.9us,0026,,
103.3us,0028,,
103.7us,0028,,
104.1us,0029,,
104.5us,0029,,
105us,0029,,
105.4us,002A,,
105.8us,002A,,
106.2us,002A,,
106.6us,0033,,
107us,0033,,
107.5us,0033,,
107.9us,0034,,
108.3us,0034,,
108.7us,0034,,
109.1us,0034,,
109.5us,0034,,
110us,0035,,
110.4us,0035,,
110.8us,0035,,
111.2us,0036,,
